title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,bbeScore,bbeVotes,price
The Wind in the Willows,,"Kenneth Grahame, Gillian Avery (Introduction)",3.98,"""There is nothing half so much worth doing as simply messing around in boats.""

When Mole flees his little underground home he discovers new friends and adventures with Raj, Toad and Badger.

This much-loved story has been carefully retold for young children to enjoy. With beautiful illustrations throughout, it provides the perfect introduction to a classic tale.",English,9.78014E+12,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Animals', 'Young Adult', 'Adventure', 'Literature', 'Middle Grade', 'Audiobook']","['Badger', 'Otter', 'Mole', 'Rat', 'Toad']",Paperback,Penguin Classics,197,Penguin Books,10/27/05,10/28/08,"['Lewis Carroll Shelf Award (1958)', 'Australian Book Industry Award (ABIA) Nominee for Older Children (ages 8-14) (2008)']",179500,"['66730', '60524', '38765', '9487', '3994']",92,[],57971,775,4.18
The Screwtape Letters,,C.S. Lewis,4.22,"The Screwtape Letters by C.S.  Lewis is a classic masterpiece of religious satire that entertains readers with its sly and ironic portrayal of human life and foibles from the vantage point of Screwtape, a highly placed assistant to ""Our Father Below."" At once wildly comic, deadly serious, and strikingly original, C.S. Lewis's The Screwtape Letters is the most engaging account of temptation—and triumph over it—ever written. ",English,B002BD2V2Y,"['Fiction', 'Classics', 'Christian', 'Religion', 'Christianity', 'Fantasy', 'Theology', 'Christian Fiction', 'Faith', 'Philosophy']","['Screwtape', 'Wormwood', 'The Patient', 'Screwtape']",Kindle Edition,,228,,,10/28/42,"['Nautilus Book Award for Audio Books & Spoken Word (2010)', 'Audie Award for Classic (2000)']",331949,"['166809', '99721', '45260', '12854', '7305']",94,[],57947,714,
Girl with a Pearl Earring,,Tracy Chevalier (Goodreads Author),3.89,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries—and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.Girl with a Pearl Earring centers on Vermeer's prosperous Delft household during the 1660s. When Griet, the novel's quietly perceptive heroine, is hired as a servant, turmoil follows. First, the 16-year-old narrator becomes increasingly intimate with her master. Then Vermeer employs her as his assistant—and ultimately has Griet sit for him as a model.",English,9.78045E+12,"['Historical Fiction', 'Fiction', 'Historical', 'Classics', 'Art', 'Romance', 'Adult Fiction', 'Adult', 'Novels', 'Literature']","['Johannes Vermeer', 'Griet', 'Pieter van Ruijven', 'Catharina Bolnes', 'Maria Thins', 'Tanneke', 'Pieter (Girl with a pearl earring)', 'Antonie van Leeuwenhoek']",Paperback,Deluxe Edition,233,Plume/Penguin,10/28/05,10/28/99,"['Orange Prize Nominee for Fiction Longlist (2000)', 'ALA Alex Award (2001)', 'Lincoln Award Nominee (2006)', 'Premi Llibreter de narrativa Nominee (2001)']",626689,"['194523', '235382', '146900', '33893', '15991']",92,"['Delft (Netherlands)', 'Netherlands']",57743,752,2.86
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)",4.42,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story.",English,9.78055E+12,"['Nonfiction', 'Biography', 'History', 'Christian', 'Classics', 'Memoir', 'Holocaust', 'World War II', 'Historical', 'Autobiography']",[],Paperback,,242,Bantam,10-01-1984,01-01-1971,[],257383,"['160928', '60734', '23869', '6449', '5403']",95,"['Haarlem (Netherlands)', 'Netherlands', 'Ravensbrück (Germany)']",57445,686,4.17
A Light in the Attic,,Shel Silverstein,4.34,"Last night while I lay thinking here Some Whatifs crawled inside my ear And pranced and partied all night long And sang their same old Whatif song: Whatif I flunk that test?Whatif green hair grows on my chest?Whatif nobody likes me?Whatif a bolt of lightning strikes me?...This 20th anniversary of Shel Silverstein's A Light in the Attic includes a CD of highlights from his Grammy Award-winning album.Here in the attic of Shel Silverstein you will find Backward Bill, Sour Face Ann, the Meehoo with an Exactlywatt, and the Polar Bear in the Frigidaire. You will talk with Broiled Face, and find out what happens when Somebody steals your knees, you get caught by the Quick-Digesting Gink, a Mountain snores, and They Put a Brassiere on the Camel.From the creator of the beloved poetry collections Where the Sidewalk Ends and Falling Up, here is another wondrous book of poems and drawings.",English,9.78006E+12,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books', 'Juvenile', 'Middle Grade', 'Banned Books']",[],Hardcover,20th Anniversary Edition with CD,176,Harpercollins Childrens Books,10-07-2002,10-07-1981,"[""George C. Stone Center for Children's Books Recognition of Merit Award (1984)"", 'Magnesia Litera for Translation (Litera za překladovou knihu) (2015)', 'Garden State Book Award', 'Vlag en Wimpel Griffeljury (1985)', ""William Allen White Children's Book Award (1984)""]",374236,"['212150', '100143', '46054', '10135', '5754']",96,[],56943,755,12.08
The Silence of the Lambs,Hannibal Lecter #2,Thomas Harris,4.2,Hannibal Lecter. The ultimate villain of modern fiction. Read the five-million-copy bestseller that scared the world silent. The Silence of the Lambs. A young FBI trainee. An evil genius locked away for unspeakable crimes. A plunge into the darkest chambers of a psychopath's mind--in the deadly search for a serial killer. - back cover,English,9.7801E+12,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller', 'Classics', 'Novels', 'Drama']","['Jack Crawford', 'Hannibal Lecter', 'Clarice Starling']",Paperback,,421,Arrow Books,10/28/02,10/28/88,"['Bram Stoker Award for Best Novel (1988)', 'World Fantasy Award Nominee for Best Novel (1989)', 'Anthony Award for Best Novel (1989)', 'Grand Prix de Littérature Policière for Romans étrangers (1991)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1989)']",463525,"['220765', '152905', '63537', '14735', '11583']",94,"['Washington, D.C. (United States)', 'Memphis, Tennessee (United States)']",56705,734,3.11
Shiver,The Wolves of Mercy Falls #1,Maggie Stiefvater (Goodreads Author),3.77,"For years, Grace has watched the wolves in the woods behind her house. One yellow-eyed wolf—her wolf—is a chilling presence she can't seem to live without.Meanwhile, Sam has lived two lives: In winter, the frozen woods, the protection of the pack, and the silent company of a fearless girl. In summer, a few precious months of being human… until the cold makes him shift back again.Now, Grace meets a yellow-eyed boy whose familiarity takes her breath away. It's her wolf. It has to be. But as winter nears, Sam must fight to stay human—or risk losing himself, and Grace, forever.",English,9.78055E+12,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Werewolves', 'Fiction', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']","['Grace Brisbane', 'Sam  Roth', 'Isabel Culpeper', 'Jack Culpeper', 'Geoffrey Beck', 'Olivia Marx', 'Rachel', 'William Koenig']",Hardcover,,392,Scholastic Press,08-01-2009,,"['Georgia Peach Book Award (2010)', ""Pennsylvania Young Readers' Choice Award Nominee (2011)"", ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010)"", 'Florida Teens Read Nominee (2010)', 'Teen Read Award Nominee for Best Read (2010)', 'The Inky Awards for Silver Inky (2010)', 'Lincoln Award Nominee (2012)', 'The Inky Awards Shortlist for Silver Inky (2010)', 'Missouri Gateway Readers Award Nominee (2012)', 'Premi Protagonista Jove for Categoria 15-16 anys (2011)']",430888,"['146048', '122021', '100608', '41081', '21130']",86,"['Mercy Falls, Minnesota (United States)']",56654,658,7.05
Uglies,Uglies #1,Scott Westerfeld (Goodreads Author),3.86,"Tally is about to turn sixteen, and she can't wait. In just a few weeks she'll have the operation that will turn her from a repellent ugly into a stunning pretty. And as a pretty, she'll be catapulted into a high-tech paradise where her only job is to have fun.But Tally's new friend Shay isn't sure she wants to become a pretty. When Shay runs away, Tally learns about a whole new side of the pretty world—and it isn't very pretty. The authorities offer Tally a choice: find her friend and turn her in, or never turn pretty at all. Tally's choice will change her world forever....",English,9.78069E+12,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen', 'Adventure', 'Post Apocalyptic', 'Science Fiction Fantasy']","['David Strorm', 'Tally Youngblood', 'Shay', 'Peris', 'Dr. Cable']",Paperback,,425,Simon Pulse,02-08-2005,,"['Georgia Peach Book Award Nominee for Honor book (2008)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2006)', 'Ditmar Award Nominee for Best Novel (2006)', 'South Carolina Book Award Nominee for Young Adult Book Award (2008)', 'Rhode Island Teen Book Award Nominee (2007)', 'Eliot Rosewater Indiana High School Book Award (2007)', 'Lincoln Award (2007)', 'Prix Et-lisez-moi (2009)', 'Missouri Gateway Readers Award Nominee (2008)']",560175,"['190163', '180706', '127275', '42620', '19411']",89,[],56436,671,3.58
City of Fallen Angels,The Mortal Instruments #4,Cassandra Clare (Goodreads Author),4.12,"The Mortal War is over, and sixteen-year-old Clary Fray is back home in New York, excited about all the possibilities before her. She’s training to become a Shadowhunter and to use her unique power. Her mother is getting married to the love of her life. Downworlders and Shadowhunters are at peace at last. And—most importantly of all—she can finally call Jace her boyfriend.But nothing comes without a price.Someone is murdering Shadowhunters, provoking tensions between Downworlders and Shadowhunters that could lead to a second, bloody war. Clary’s best friend, Simon, can’t help her—his mother just found out that he’s a vampire, and now he’s homeless. When Jace begins to pull away from her without explaining why, Clary is forced to delve into the heart of a mystery whose solution reveals her worst nightmare: she herself has set in motion a terrible chain of events that could lead to her losing everything she loves. Even Jace.",English,9.78144E+12,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Vampires', 'Fiction', 'Angels', 'Supernatural', 'Magic']","['Alexander ""Alec"" Lightwood', 'Jonathan ""Jace"" Wayland', 'Isabelle ""Izzy"" Sophia Lightwood', 'Magnus Bane', 'Jordan Kyle', 'Maia Roberts', 'Jocelyn Fray', 'Luke Garroway', 'Camille Belcourt', 'Clarissa ""Clary"" Fray', 'Simon Lewis']",Hardcover,First Edition,425,"Simon & Schuster Children's, Margaret K. McElderry Books",04-05-2011,,['Goodreads Choice Award for Goodreads Author and Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)'],480909,"['209820', '155805', '86868', '21991', '6425']",94,"['New York City, New York (United States)']",56434,703,4.75
Man's Search for Meaning,,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)",4.36,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",English,9.78081E+12,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Memoir', 'Self Help', 'Biography', 'Classics', 'Holocaust', 'Spirituality']",[],Paperback,,165,Beacon Press,06-01-2006,10/28/46,[],400761,"['221757', '119918', '44536', '9508', '5042']",96,"['Auschwitz (Poland)', 'Dachau (Germany)']",56302,657,7.37
She's Come Undone,,Wally Lamb (Goodreads Author),3.88,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years.Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",English,9.78067E+12,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Novels', 'Coming Of Age', 'Adult', 'Literary Fiction', 'Drama', 'Mental Illness']",[],Mass Market Paperback,,465,Pocket,06/28/98,08/24/92,['Los Angeles Times Book Prize'],316234,"['108747', '106703', '67340', '22220', '11224']",89,['United States of America'],55867,676,1.91
The Phantom of the Opera,,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)",3.96,"First published in French as a serial in 1909, The Phantom of the Opera is a riveting story that revolves around the young, Swedish Christine Daaé. Her father, a famous musician, dies, and she is raised in the Paris Opera House with his dying promise of a protective angel of music to guide her. After a time at the opera house, she begins hearing a voice, who eventually teaches her how to sing beautifully. All goes well until Christine's childhood friend Raoul comes to visit his parents, who are patrons of the opera, and he sees Christine when she begins successfully singing on the stage. The voice, who is the deformed, murderous 'ghost' of the opera house named Erik, however, grows violent in his terrible jealousy, until Christine suddenly disappears. The phantom is in love, but it can only spell disaster.Leroux's work, with characters ranging from the spoiled prima donna Carlotta to the mysterious Persian from Erik's past, has been immortalized by memorable adaptations. Despite this, it remains a remarkable piece of Gothic horror literature in and of itself, deeper and darker than any version that follows.",English,9.78006E+12,"['Classics', 'Fiction', 'Horror', 'Romance', 'Gothic', 'Mystery', 'Historical Fiction', 'France', 'Literature', 'Fantasy']","['Erik', 'Christine Daaé', 'Madame Giry', 'Raoul de Chagny', 'La Carlotta', '""The Persian""', 'Count Phillippe de Chagny']",Paperback,,360,Harper Perennial,12/30/87,09/23/09,[],198779,"['71880', '66493', '45110', '11658', '3638']",92,"['Paris (France)', 'Bretagne (France)']",54690,705,2.86
Marley and Me: Life and Love With the World's Worst Dog,,John Grogan,4.13,"John and Jenny were just beginning their life together. They were young and in love, with a perfect little house and not a care in the world. Then they brought home Marley, a wiggly yellow furball of a puppy. Life would never be the same.Marley quickly grew into a barreling, ninety-seven-pound streamroller of a Labrador retriever, a dog like no other. He crashed through screen doors, gouged through drywall, flung drool on guests, stole women's undergarments, and ate nearly everything he could get his mouth around, including couches and fine jewelry. Obedience school did no good—Marley was expelled. Neither did the tranquilizers the veterinarian prescribed for him with the admonishment, ""Don't hesitate to use these.""And yet Marley's heart was pure. Just as he joyfully refused any limits on his behavior, his love and loyalty were boundless, too. Marley shared the couple's joy at their first pregnancy, and their heartbreak over the miscarriage. He was there when babies finally arrived and when the screams of a seventeen-year-old stabbing victim pierced the night. Marley shut down a public beach and managed to land a role in a feature-length movie, always winning hearts as he made a mess of things. Through it all, he remained steadfast, a model of devotion, even when his family was at its wit's end. Unconditional love, they would learn, comes in many forms.",English,9.78074E+12,"['Nonfiction', 'Animals', 'Memoir', 'Dogs', 'Biography', 'Humor', 'Biography Memoir', 'Adult', 'Contemporary', 'Autobiography']","['Jenny', 'Patrick Grogan', 'Marley', 'Conor Grogan', 'Colleen Grogan', 'Família Grogan', 'John Grogan']",Hardcover,,291,William Morrow; 1ST edition,10/18/05,,['Puddly Award for Nonfiction (2007)'],440572,"['189301', '151102', '76944', '16780', '6445']",95,['United States of America'],54671,686,5.29
Ella Enchanted,Ella Enchanted #1,Gail Carson Levine (Goodreads Author),3.98,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel of me. Or perhaps I was that way naturally."" When her beloved mother dies, leaving her in the care of a mostly absent and avaricious father, and later, a loathsome stepmother and two treacherous stepsisters, Ella's life and well-being seem to be in grave peril. But her intelligence and saucy nature keep her in good stead as she sets out on a quest for freedom and self-discovery as she tries to track down Lucinda to undo the curse, fending off ogres, befriending elves, and falling in love with a prince along the way. Yes, there is a pumpkin coach, a glass slipper, and a happily ever after, but this is the most remarkable, delightful, and profound version of Cinderella you'll ever read.Gail Carson Levine's examination of traditional female roles in fairy tales takes some satisfying twists and deviations from the original. Ella is bound by obedience against her will, and takes matters in her own hands with ambition and verve. Her relationship with the prince is balanced and based on humor and mutual respect; in fact, it is she who ultimately rescues him. Ella Enchanted has won many well-deserved awards, including a Newbery Honor.",English,9.78059E+12,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Fairy Tales', 'Childrens', 'Middle Grade', 'Retellings', 'Magic', 'Adventure']","['Ella Varner', 'Lucinda', 'Mandy', 'Prince Charmont', 'Areida', 'Hattie', 'Olive Abroholos Elephanta']",Paperback,First Scholastic Edition,232,Scholastic Books,09-01-1998,04/25/97,"['Newbery Medal Nominee (1998)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1999)"", 'Grand Canyon Reader Award for Teen Book (1999)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2000)', ""Dorothy Canfield Fisher Children's Book Award (1999)"", 'Iowa Teen Award (2000)', 'California Young Readers Medal for Middle School/Junior High (2000)', ""Rebecca Caudill Young Readers' Book Award (2000)""]",386881,"['146547', '123656', '86772', '21924', '7982']",92,[],54609,680,1.91
The Wind-Up Bird Chronicle,ねじまき鳥クロニクル #1-3,"Haruki Murakami, Jay Rubin (Translator)",4.16,"Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II.In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds himself looking for his wife as well in a netherworld that lies beneath the placid surface of Tokyo. As these searches intersect, Okada encounters a bizarre group of allies and antagonists: a psychic prostitute; a malevolent yet mediagenic politician; a cheerfully morbid sixteen-year-old-girl; and an aging war veteran who has been permanently changed by the hideous things he witnessed during Japan's forgotten campaign in Manchuria.Gripping, prophetic, suffused with comedy and menace, The Wind-Up Bird Chronicle is a tour de force equal in scope to the masterpieces of Mishima and Pynchon.Three books in one volume: The Thieving Magpie, Bird as Prophet, The Birdcatcher. This translation by Jay Rubin is in collaboration with the author.",English,9.78097E+12,"['Fiction', 'Magical Realism', 'Japan', 'Japanese Literature', 'Fantasy', 'Contemporary', 'Literature', 'Novels', 'Mystery', 'Asia']","['Toru Okada', 'Kumiko Okada', 'Noboru Wataya', 'Malta Kano', 'May Kasahara', 'Creta Kano', 'Tokutaro Mamiya', 'Nutmeg Akasaka', 'Cinnamon Akasaka', 'Boris Gromov', 'Ushikawa']",Paperback,,607,Knopf,10/28/97,04-12-1994,"['Japan-U.S. Friendship Commission Prize for the Translation of Japanese Literature (1999)', 'Yomiuri Prize 読売文学賞 for Fiction (1995)', 'International Dublin Literary Award Nominee for Shortlist (1999)']",218214,"['94048', '79371', '32872', '8811', '3112']",95,[],54280,609,22.25
Cinder,The Lunar Chronicles #1,Marissa Meyer (Goodreads Author),4.14,"Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister’s illness. But when her life becomes intertwined with the handsome Prince Kai’s, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world’s future.",English,1E+13,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Dystopia', 'Retellings', 'Fiction', 'Fairy Tales', 'Audiobook', 'Young Adult Fantasy']","['Linh Cinder', 'Queen Levana', 'Emperor Kai', 'Iko', 'Crescent Moon ""Cress"" Darnel', 'Dr. Dmitri Erland', 'Sybil Mira', 'Linh Adri', 'Linh Peony', 'Linh Pearl']",Hardcover,,400,Feiwel & Friends,10/28/12,,"['Golden Duck Award for Young Adult (Hal Clement Award) (2013)', 'Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014)"", ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014)"", 'Rhode Island Teen Book Award Nominee (2014)', 'California Young Readers Medal for Young Adult (2016)', 'Lincoln Award Nominee (2014)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)', ""Rebecca Caudill Young Readers' Book Award Nominee (2016)""]",682555,"['308877', '225168', '101143', '28794', '18573']",93,"['New Beijing, Eastern Commonwealth']",53660,620,
